offer_id,platform_id,platform_name,offer_title,bank_id,bank_name,card_name,payment_method,category,channels,discount_type,discount_value,max_discount,min_transaction,coupon_code,valid_from,expiry_date,usage_limit,new_user_only,login_required,eligibility_notes,terms_url,source_url,booking_url,source_type,evidence_status,last_verified_at,priority_score,is_active,publish_status
MAK-PNB-4B3885,MAKEMYTRIP,MakeMyTrip,"Grab up to 15% OFF* on domestic & international flights + hotels, outstation cabs & buses.",PNB,Punjab National Bank,Punjab National Bank Credit Card,CREDIT,FLIGHT_INTERNATIONAL,WEB_AND_APP,PERCENT,12,1800,3000,MMTPNB,2026-07-03,2026-09-27,1 per card per month,false,false,"Valid on: every Thursday, Friday, Saturday & Sunday; WHAT DO YOU GET? Customers will get instant discount as mentioned in the table above, on Punjab National Bank Credit Cards. HOW DO YOU GET IT? To avail the offer, customer must enter E-Coupon as per aforementioned table in the E-Coupon field. The Offer is valid every Thursday, Friday, Saturday & Sunday starting from 3rd July'26 - 27th Sep'26 (between 0000 hrs to 2359 hrs). The offer is valid for bookings made on MMT website, Mobile site, Android & iOS App. The offer is valid on Punjab National Bank Credit cards. The offer is valid for 1 booking per card per category per Month throughout the offer period. WHAT ELSE DO YOU NEED TO KNOW? Flights For flights, discount will be calculated on the booking amount (excluding convenience fee and any ancillaries purchased e.g.: meals, insurance). The",https://www.makemytrip.com/promos/pnb-offers-04092022.html?detail_image=no,https://www.makemytrip.com/promos/pnb-offers-04092022.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-INDUSIND-2B9F7D,MAKEMYTRIP,MakeMyTrip,Plan a trip now with up to 15% OFF* on flights & hotels,INDUSIND,IndusInd Bank,IndusInd Bank Debit Card,DEBIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,12,1800,5000,MMTINDUSINDDC,2026-08-14,2026-11-13,,false,false,"What do you get? The customer will receive discounts as per the details mentioned in the table above. How do you get it? To avail the offer, customers must enter E-Coupon as per aforementioned table in the E-Coupon field. The offer is valid on 14thAug’26 – 13th Nov’26 (Every Wed, Thu & Fri) (both days included) between 0000 Hours and 2359 Hours. The offer is valid on payment made through relevant IndusInd MasterCard Debit Cards respective BINS only. The offer is valid for bookings made on MakeMyTrip's Desktop website, Mobile site, Android & iOS App only. The offer is valid for once per user per LOB per month. This offer is not valid on the booking made through any other pay-mode apart from relevant IndusInd MasterCard Debit card only. Flights TnCs For flights, discount will be calculated o",https://www.makemytrip.com/promos/indusind-mastercard-dc-offer-120826.html?detail_image=no,https://www.makemytrip.com/promos/indusind-mastercard-dc-offer-120826.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-HDFC-9D4C28,MAKEMYTRIP,MakeMyTrip,"Grab up to ₹9,000 instant discount* on Flights",HDFC,HDFC Bank,HDFC Bank Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,FLAT,2000,2000,15000,HDFCEMI,2026-09-01,2026-09-30,1 per card per month,false,false,"What do you get? Customers will get instant discount as mentioned in the table above, on HDFC Bank Easy EMI bookings on Credit Cards. How do you get it? To avail the offer on Flights, customer must enter E-Coupon as per aforementioned table in the E-Coupon field. The Offer is valid on all days 1st September – 30th September 2026 (between 0000 hours to 2359 hours). The offer is valid for bookings made on MakeMyTrip website, Mobile site, Android & iOS App. The offer is valid only on HDFC Bank Easy EMI bookings on Credit card EMI transactions. The offer is valid for 1 booking per card per category per month throughout the offer period. What Else do You Need to Know? For Flights, discount will be calculated on the booking amount (excluding convenience fee and any ancillaries purchased e.g.: me",https://www.makemytrip.com/promos/hdfc-emi-22062023.html?detail_image=no,https://www.makemytrip.com/promos/hdfc-emi-22062023.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,76,true,READY
MAK-HSBC-C5A213,MAKEMYTRIP,MakeMyTrip,Flat 8% Instant Discount* on Business Class Flights,HSBC,HSBC,HSBC Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,8,2500,,MMTHSBCBIZ,2026-07-01,2026-09-30,1 per card per month,false,false,"What do you get? The customer will receive Instant Discount as per the details mentioned in the table above. How do you get it? To avail the offer, customer must enter E-Coupon as mentioned above in the E-Coupon field. The offer is valid on payment made through HSBC Bank Credit Cards only. The offer is valid on Business class Flights only. The offer is valid Everyday from 1st July – 30th Sept’26 (both days included), between 0000 Hours and 2359 Hours. The offer is valid on 1 booking per card per calendar month i.e., if a customer has used an HSBC Bank Credit Card to avail the offer on 15th April’26, he/she cannot use the same card to avail the offer in April ’26. The offer is valid for bookings made on MakeMyTrip's Website, mobile site and mobile app (Android & iOS) only. The discount will",https://www.makemytrip.com/promos/hsbc-bank-cc-offer-070825.html?detail_image=no,https://www.makemytrip.com/promos/hsbc-bank-cc-offer-070825.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,76,true,READY
MAK-FEDERAL-6562D4,MAKEMYTRIP,MakeMyTrip,"Enjoy up to 35% OFF* + INTEREST-FREE* EMI on flights, hotels & holiday packages.",FEDERAL,Federal Bank,Federal Bank Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,10,1500,5000,FEDERALEMI,2026-09-23,2026-09-30,1 per card,false,false,"What do you get? The customer will get an option of Interest Free on 3, 6-months tenure + Instant Discount (as per the details mentioned in the above table) on EMI transactions using Federal Bank Credit Card. How do you get it? To avail the offer, customer must enter E-Coupon as mentioned in the table above, in the E-Coupon field. Customer needs to pay using EMI option available on Federal Bank Credit Cards on MakeMyTrip. The offer cannot be clubbed with any other deal code running on MakeMyTrip. The offer is valid Every day Till 30th September 2026 (both days included) between 0000 hours to 23:59 hours. The offer is valid for bookings made on MakeMyTrip’ s Website, mobile site and mobile app (Android & iOS) only. The offer is valid for 1 booking per card per category per user per month du",https://www.makemytrip.com/promos/federal-offer-050624.html?detail_image=no,https://www.makemytrip.com/promos/federal-offer-050624.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,72,true,READY
CLE-ICICI-6CD8C2,CLEARTRIP,Cleartrip,Get up to 20% off on International Flight Bookings,ICICI,ICICI Bank,ICICI Bank Credit Card,CREDIT,FLIGHT_INTERNATIONAL,WEB_AND_APP,PERCENT,20,6000,10000,BBDCC,2025-09-22,2026-10-02,,false,false,Valid till 02nd Oct,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,https://www.cleartrip.com/flights,SCRAPED,VERIFIED,2026-09-23,82,true,READY
CLE-NOBANK-367474,CLEARTRIP,Cleartrip,"Exclusive Offer on Cleartrip! Enjoy up to ₹ 5,000 off on Domestic & International Flights",,,,NO_CARD,FLIGHT_INTERNATIONAL,WEB_AND_APP,FLAT,5000,5000,,CTPLUSONE,2025-09-22,2026-10-02,,false,false,,https://www.cleartrip.com/all-offers/ctplusone-bbd-special-offer/,https://www.cleartrip.com/all-offers/ctplusone-bbd-special-offer/,https://www.cleartrip.com/flights,SCRAPED,VERIFIED,2026-09-23,79,true,READY
CLE-NOBANK-53F83B,CLEARTRIP,Cleartrip,Fly for Less This Festive Season! Get a flat 15% off on all domestic flights.,,,,NO_CARD,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,15,1500,,FESTIVESPL,2025-09-22,2026-10-02,,false,false,Valid for bookings till 02nd Oct,https://www.cleartrip.com/all-offers/festive-bbd-special-offer/,https://www.cleartrip.com/all-offers/festive-bbd-special-offer/,https://www.cleartrip.com/flights,SCRAPED,VERIFIED,2026-09-23,79,true,READY
CLE-NOBANK-AE070B,CLEARTRIP,Cleartrip,"IndiGo Flying Connections Sale is Live!Domestic fares from ₹ 2,390* & International fares from ₹ 8,990*",,,,NO_CARD,FLIGHT_INTERNATIONAL,WEB_AND_APP,FLAT,2390,2390,,ABSOLUTELYFREE,2025-11-01,2026-10-17,,false,false,Advance booking is required.; Fares are not available during the embargo period.; Fares are available on selected fare classes only.; The discounted fares directly appear on the Cleartrip site.; Changes to names are not permitted.; Changes to flights and dates are permitted subject to change fees; till 17th Oct,https://www.cleartrip.com/all-offers/indigo-connection-sale/,https://www.cleartrip.com/all-offers/indigo-connection-sale/,https://www.cleartrip.com/flights,SCRAPED,VERIFIED,2026-09-23,79,true,READY
CLE-NOBANK-F0F384,CLEARTRIP,Cleartrip,Flat 15% off on your First Domestic Flight booking,,,,NO_CARD,FLIGHT_INTERNATIONAL,WEB_AND_APP,PERCENT,15,1800,,CTFIRST,2025-11-25,2026-12-04,,false,false,Valid till 04th Dec,https://www.cleartrip.com/all-offers/first-domestic-flight-booking-offer-2/,https://www.cleartrip.com/all-offers/first-domestic-flight-booking-offer-2/,https://www.cleartrip.com/flights,SCRAPED,VERIFIED,2026-09-23,79,true,READY
CLE-AXIS-60C2B0,CLEARTRIP,Cleartrip,"Get up to ₹10,000 off on Malaysia Airlines Flight bookings!",AXIS,Axis Bank,Axis Bank Credit Card,CREDIT,FLIGHT_INTERNATIONAL,WEB_AND_APP,CASHBACK,5,10000,,CTMHSPL,2026-09-23,2026-12-09,,false,false,"Meet & Greet; Journey in comfort; Pre flight relaxation with Malaysian Hospitality even before take-off at exclusive Golden Lounge and partner lounges worldwide; Enjoy the ultimate freedom to just be. Take in the vistas around you, or recline in relaxing slumber; Fine dine in skies; Exclusive amenity kits.; Bookings are open from 00:01 hours on 25 -Nov-2025 till 23:59 hours on 09-Dec-2025, both dates included (blackout dates apply).; Limited inventory is available under the Offer.",https://www.cleartrip.com/all-offers/malaysia-airline-special-offer-ct-6/,https://www.cleartrip.com/all-offers/malaysia-airline-special-offer-ct-6/,https://www.cleartrip.com/flights,SCRAPED,VERIFIED,2026-09-23,77,true,READY
CLE-NOBANK-AEF162,CLEARTRIP,Cleartrip,Get up to 20% off on Domestic Flights!,,,,NO_CARD,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,20,1500,,CTBFSALE,2026-09-23,2026-12-03,,false,false,Valid till 03rd Dec,https://www.cleartrip.com/all-offers/ct-bfs-special-offer-dom/,https://www.cleartrip.com/all-offers/ct-bfs-special-offer-dom/,https://www.cleartrip.com/flights,SCRAPED,VERIFIED,2026-09-23,74,true,READY
CLE-NOBANK-2988AB,CLEARTRIP,Cleartrip,Get up to 12% off on International Flights!,,,,NO_CARD,FLIGHT_INTERNATIONAL,WEB_AND_APP,PERCENT,12,5000,,CTBFSALE,2026-09-23,2026-12-03,,false,false,Valid till 03rd Dec,https://www.cleartrip.com/all-offers/ct-bfs-special-offer-international-flights/,https://www.cleartrip.com/all-offers/ct-bfs-special-offer-international-flights/,https://www.cleartrip.com/flights,SCRAPED,VERIFIED,2026-09-23,74,true,READY
CLE-NOBANK-36CE82,CLEARTRIP,Cleartrip,Enjoy Up to 26% off on selected destinations,,,,NO_CARD,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,26,,,CTNY26,2026-09-23,2026-12-04,,false,false,Valid till 04th Dec,https://www.cleartrip.com/all-offers/black_friday_ctny2026-offer/,https://www.cleartrip.com/all-offers/black_friday_ctny2026-offer/,https://www.cleartrip.com/flights,SCRAPED,VERIFIED,2026-09-23,74,true,READY
